Date,Temp_A,Temp_B
2019-06-25 21:45:08,5.753,2.369
2019-06-25 21:45:14,5.753,2.369
2019-06-25 21:45:20,5.592,2.369
2019-06-25 21:45:26,5.753,2.369
2019-06-25 21:45:33,5.753,2.369
2019-06-25 21:45:39,5.753,2.369
2019-06-25 21:45:45,5.592,2.208
2019-06-25 21:45:51,5.592,2.369
2019-06-25 21:45:57,5.592,2.369
2019-06-25 21:46:03,5.753,2.208
2019-06-25 21:46:09,5.753,2.208
2019-06-25 21:46:15,5.592,2.369
2019-06-25 21:46:21,5.592,2.208
2019-06-25 21:46:27,5.592,2.208
2019-06-25 21:46:33,5.753,2.369
2019-06-25 21:46:39,5.592,2.208
2019-06-25 21:46:45,5.592,2.369
2019-06-25 21:46:51,5.592,2.208
2019-06-25 21:46:58,5.592,2.208
2019-06-25 21:47:04,5.592,2.369
2019-06-25 21:47:10,5.592,2.208
2019-06-25 21:47:16,5.592,2.208
2019-06-25 21:47:22,5.592,2.208
2019-06-25 21:47:28,5.592,2.208
2019-06-25 21:47:34,5.592,2.208
2019-06-25 21:47:40,5.592,2.208
2019-06-25 21:47:46,5.592,2.208
2019-06-25 21:47:52,5.592,2.208
2019-06-25 21:47:58,5.592,2.208
2019-06-25 21:48:04,5.592,2.208
2019-06-25 21:48:10,5.592,2.208
2019-06-25 21:48:16,5.592,2.208
2019-06-25 21:48:22,5.592,2.208
2019-06-25 21:48:29,5.592,2.208
2019-06-25 21:48:35,5.592,2.208
2019-06-25 21:48:41,5.592,2.369
2019-06-25 21:48:47,5.592,2.208
2019-06-25 21:48:53,5.431,2.208
2019-06-25 21:48:59,5.592,2.208
2019-06-25 21:49:05,5.592,2.208
2019-06-25 21:49:11,5.592,2.208
2019-06-25 21:49:17,5.592,2.208
2019-06-25 21:49:23,5.431,2.208
2019-06-25 21:49:29,5.431,2.208
2019-06-25 21:49:35,5.592,2.208
2019-06-25 21:49:41,5.431,2.208
2019-06-25 21:49:47,5.431,2.208
2019-06-25 21:49:53,5.431,2.208
2019-06-25 21:50:00,5.431,2.208
2019-06-25 21:50:06,5.431,2.208
2019-06-25 21:50:12,5.431,2.369
2019-06-25 21:50:18,5.431,2.208
2019-06-25 21:50:24,5.431,2.047
2019-06-25 21:50:30,5.431,2.047
2019-06-25 21:50:36,5.431,2.047
2019-06-25 21:50:42,5.431,2.047
2019-06-25 21:50:48,5.431,2.047
2019-06-25 21:50:54,5.431,2.047
2019-06-25 21:51:00,5.269,2.047
2019-06-25 21:51:06,5.431,2.047
2019-06-25 21:51:12,5.431,2.208
2019-06-25 21:51:18,5.431,2.047
2019-06-25 21:51:25,5.269,2.047
2019-06-25 21:51:31,5.431,2.047
2019-06-25 21:51:37,5.269,2.047
